Feasible
Restart 9, Repetition 9635 


Total cost: 323.2150300777148

Number of Routes: 4
Priority 1: 0.8

Priority 2: 0.92



Route 0
Location Option Customer

0 - -

101 103 67

101 130 76

101 126 75

101 6 6

101 19 19

101 57 48

101 16 16

101 154 84

101 145 81

101 163 87

101 97 65

101 175 91

101 193 97

101 1 1

101 160 86

101 124 74

6 25 25

9 28 28

11 30 30

86 177 92

19 38 38

52 113 71

20 39 39

15 34 34

13 32 32

0 - -

Route 1
Location Option Customer

0 - -

24 46 43

3 22 22

39 76 58

10 29 29

12 31 31

2 21 21

4 23 23

16 35 35

104 18 18

104 184 94

104 187 95

104 79 59

104 15 15

104 0 0

104 196 98

104 90 63

104 43 41

104 75 57

104 53 46

104 117 72

104 65 52

71 155 85

14 33 33

34 66 53

36 70 55

8 27 27

0 - -

Route 2
Location Option Customer

0 - -

18 37 37

7 26 26

5 24 24

17 36 36

23 44 42

37 72 56

103 199 99

103 63 51

103 13 13

103 59 49

103 51 45

103 169 89

103 49 44

103 3 3

103 142 80

103 148 82

103 11 11

103 112 70

103 9 9

103 55 47

103 69 54

103 85 61

103 166 88

1 20 20

60 137 79

0 - -

Route 3
Location Option Customer

0 - -

102 17 17

102 100 66

102 7 7

102 2 2

102 94 64

102 12 12

102 151 83

102 108 69

102 181 93

102 136 78

102 41 40

102 8 8

102 14 14

102 82 60

102 190 96

102 10 10

102 5 5

102 121 73

102 4 4

102 106 68

102 87 62

102 172 90

102 132 77

102 61 50

0 - -

