Feasible
Restart 13, Repetition 215 


Total cost: 3725

Number of Routes: 5
Priority 1: 0.8

Priority 2: 0.9



Route 0
Location Option Customer

0 - -

3 12 12

49 97 49

1 10 10

55 81 43

55 68 39

59 48 32

59 1 1

59 33 26

59 84 44

9 18 18

0 - -

Route 1
Location Option Customer

0 - -

16 30 25

18 34 27

22 43 31

6 15 15

7 16 16

13 24 22

60 29 24

60 72 40

60 60 36

0 - -

Route 2
Location Option Customer

0 - -

4 13 13

58 63 37

58 8 8

58 23 21

52 87 45

52 90 46

52 56 35

52 6 6

52 37 28

10 19 19

0 - -

Route 3
Location Option Customer

0 - -

56 65 38

56 5 5

56 0 0

34 74 41

2 11 11

57 96 48

57 9 9

53 21 20

53 39 29

53 4 4

0 - -

Route 4
Location Option Customer

0 - -

14 26 23

8 17 17

35 76 42

5 14 14

51 93 47

51 7 7

51 2 2

54 51 33

54 42 30

54 3 3

59 54 34

0 - -

