Feasible
Restart 0, Repetition 4010 


Total cost: 3937

Number of Routes: 5
Priority 1: 0.8

Priority 2: 1



Route 0
Location Option Customer

0 - -

46 67 45

5 16 16

11 22 22

41 57 40

41 65 44

41 6 6

4 15 15

12 23 23

8 19 19

45 3 3

0 - -

Route 1
Location Option Customer

0 - -

43 61 42

43 33 28

43 47 35

43 9 9

43 35 29

14 26 25

42 41 32

42 53 38

42 37 30

42 11 11

0 - -

Route 2
Location Option Customer

0 - -

36 70 47

2 13 13

40 43 33

40 51 37

40 8 8

48 63 43

48 5 5

48 10 10

1 12 12

0 - -

Route 3
Location Option Customer

0 - -

16 30 27

10 21 21

7 18 18

6 17 17

3 14 14

15 28 26

39 4 4

39 69 46

39 73 48

39 7 7

0 - -

Route 4
Location Option Customer

0 - -

9 20 20

47 49 36

47 39 31

47 55 39

47 45 34

47 2 2

44 25 24

44 0 0

44 59 41

45 75 49

45 1 1

0 - -

